"id_mutation","nature_mutation","valeur_fonciere","code_postal","type_local","surface_reelle_bati"
"2023-432496","Vente","1300000","80080","Local industriel. commercial ou assimilé","188"
"2023-432496","Vente","1300000","80080","Local industriel. commercial ou assimilé","101"
"2023-432498","Vente","116000","80200","Maison","109"
"2023-432499","Vente","169000","80090","Maison","42"
"2023-432501","Vente","4234800","80100","Local industriel. commercial ou assimilé","1912"
"2023-432502","Vente","30000","80150","Maison","28"
"2023-432503","Vente","148000","80700","Maison","77"
"2023-432504","Vente","123450","80000","Appartement","40"
"2023-432505","Vente","125000","80500","Maison","79"
"2023-432505","Vente","125000","80500","Maison","79"
"2023-432506","Vente","120000","80470","Maison","46"
"2023-432507","Vente","134000","80000","Maison","78"
"2023-432511","Vente","216604","80550","Maison","56"
"2023-432512","Vente","500000","80090","Maison","153"
"2023-432513","Vente","170000","80800","Maison","126"
"2023-432514","Vente","86900","80400","Maison","87"
"2023-432517","Vente","400000","80000","Maison","180"
"2023-432517","Vente","400000","80000","Maison","180"
"2023-432518","Vente","124300","80800","Maison","66"
"2023-432520","Vente","150000","80090","Maison","64"
"2023-432521","Vente","68000","80600","Local industriel. commercial ou assimilé","1032"
"2023-432522","Vente","87000","80430","Maison","87"
"2023-432523","Vente","100000","80570","Maison","57"
"2023-432524","Vente","300040","80160","Maison","159"
"2023-432525","Vente","245750","80260","Maison","62"
"2023-432526","Vente","213000","80200","Maison","92"
"2023-432527","Vente","188000","80400","Maison","160"
"2023-432527","Vente","188000","80400","Maison","160"
"2023-432528","Vente","67200","80000","Maison","56"
"2023-432530","Vente","68000","80120","Maison","23"
"2023-432531","Vente","760000","80000","Local industriel. commercial ou assimilé","266"
"2023-432533","Vente","128000","80000","Appartement","53"
"2023-432535","Vente","153000","80000","Appartement","86"
"2023-432536","Vente","250000","80800","Maison","93"
"2023-432536","Vente","250000","80800","Maison","93"
"2023-432537","Vente","135000","80000","Appartement","57"
"2023-432538","Vente","69150","80000","Maison","30"
"2023-432539","Vente","130000","80190","Maison","96"
"2023-432539","Vente","130000","80190","Maison","96"
"2023-432539","Vente","130000","80190","Maison","96"
"2023-432540","Vente","95000","80190","Maison","70"
"2023-432540","Vente","95000","80190","Maison","70"
"2023-432540","Vente","95000","80190","Maison","70"
"2023-432541","Vente","360","80080","Maison","78"
"2023-432542","Vente","131200","80170","Maison","71"
"2023-432543","Vente","80000","80000","Local industriel. commercial ou assimilé","41"
"2023-432544","Vente","107394","80000","Maison","78"
"2023-432545","Vente","160300","80000","Maison","53"
"2023-432548","Vente","20000","80400","Maison","76"
"2023-432549","Vente","144900","80400","Maison","82"
"2023-432549","Vente","144900","80400","Maison","82"
"2023-432550","Vente","85000","80190","Maison","100"
"2023-432551","Vente","547500","80190","Maison","380"
"2023-432552","Vente","220000","80136","Maison","70"
"2023-432553","Vente","108000","80680","Maison","40"
"2023-432555","Vente","215000","80100","Local industriel. commercial ou assimilé","134"
"2023-432556","Vente","419000","80470","Maison","225"
"2023-432556","Vente","419000","80470","Maison","225"
"2023-432557","Vente","130000","80090","Appartement","80"
"2023-432558","Vente","100000","80710","Local industriel. commercial ou assimilé","256"
"2023-432558","Vente","100000","80710","Maison","223"
"2023-432559","Vente","550000","80700","Maison","71"
"2023-432560","Vente","129000","80000","Local industriel. commercial ou assimilé","27"
"2023-432562","Vente","119800","80570","Maison","85"
"2023-432564","Vente","75000","80460","Appartement","30"
"2023-432565","Vente","330000","80000","Appartement","130"
"2023-432567","Vente","75000","80830","Maison","62"
"2023-432568","Vente","130000","80310","Maison","138"
"2023-432569","Vente","207110","80620","Maison","87"
"2023-432570","Vente","71500","80100","Appartement","52"
"2023-432571","Vente","72500","80260","Maison","80"
"2023-432571","Vente","72500","80260","Maison","80"
"2023-432572","Vente","147000","80100","Maison","28"
"2023-432572","Vente","147000","80100","Maison","100"
"2023-432572","Vente","147000","80100","Maison","70"
"2023-432572","Vente","147000","80100","Maison","70"
"2023-432573","Vente","60000","80100","Maison","86"
"2023-432573","Vente","60000","80100","Local industriel. commercial ou assimilé","134"
"2023-432574","Vente","202600","80200","Maison","156"
"2023-432575","Vente","120000","80150","Maison","92"
"2023-432576","Vente","179550","80000","Maison","38"
"2023-432576","Vente","179550","80000","Maison","62"
"2023-432578","Vente","234000","80540","Maison","128"
"2023-432579","Vente","230000","80000","Appartement","12"
"2023-432579","Vente","230000","80000","Appartement","16"
"2023-432579","Vente","230000","80000","Appartement","18"
"2023-432579","Vente","230000","80000","Appartement","22"
"2023-432579","Vente","230000","80000","Maison","27"
"2023-432582","Vente","82000","80080","Appartement","67"
"2023-432583","Vente","177000","80110","Maison","94"
"2023-432583","Vente","177000","80110","Maison","94"
"2023-432584","Vente","105000","80150","Maison","75"
"2023-432584","Vente","105000","80150","Maison","75"
"2023-432584","Vente","105000","80150","Maison","75"
"2023-432585","Vente","187000","80080","Appartement","29"
"2023-432585","Vente","187000","80080","Appartement","65"
"2023-432586","Vente","145000","80200","Maison","75"
"2023-432587","Vente","154500","80120","Appartement","51"
"2023-432589","Vente","195000","80000","Maison","80"
"2023-432590","Vente","108000","80200","Maison","61"
"2023-432592","Vente","34000","80400","Maison","63"
"2023-432594","Vente","83930","80310","Maison","71"
"2023-432597","Vente","148600","80460","Maison","54"
"2023-432599","Vente","71000","80220","Maison","64"
"2023-432602","Vente","60000","80740","Local industriel. commercial ou assimilé","380"
"2023-432603","Vente","70000","80100","Appartement","51"
"2023-432604","Vente","387830","80230","Maison","80"
"2023-432605","Vente","131100","80000","Appartement","61"
"2023-432606","Vente","70000","80400","Local industriel. commercial ou assimilé","70"
"2023-432606","Vente","70000","80400","Local industriel. commercial ou assimilé","55"
"2023-432606","Vente","70000","80400","Local industriel. commercial ou assimilé","120"
"2023-432606","Vente","70000","80400","Appartement","30"
"2023-432606","Vente","70000","80400","Appartement","30"
"2023-432607","Vente","150000","80000","Appartement","49"
"2023-432608","Vente","55000","80250","Maison","50"
"2023-432609","Vente","267000","80270","Maison","110"
"2023-432610","Vente","82000","80120","Appartement","26"
"2023-432611","Vente","86000","80500","Maison","190"
"2023-432611","Vente","86000","80500","Maison","190"
"2023-432612","Vente","258480","80100","Maison","94"
"2023-432613","Vente","100000","80460","Maison","60"
"2023-432614","Vente","110000","80600","Maison","114"
"2023-432614","Vente","110000","80600","Maison","114"
"2023-432615","Vente","115000","80600","Maison","91"
"2023-432616","Vente","26850","80170","Maison","30"
"2023-432617","Vente","90000","80220","Maison","72"
"2023-432618","Vente","154110","80000","Appartement","26"
"2023-432618","Vente","154110","80000","Appartement","16"
"2023-432618","Vente","154110","80000","Appartement","25"
"2023-432618","Vente","154110","80000","Appartement","20"
"2023-432620","Vente","260000","80100","Maison","87"
"2023-432621","Vente","218100","80160","Maison","115"
"2023-432622","Vente","160000","80000","Maison","93"
"2023-432625","Vente","291000","80000","Maison","110"
"2023-432627","Vente","302000","80090","Maison","73"
"2023-432628","Vente","126500","80100","Appartement","70"
"2023-432629","Vente","115000","80100","Appartement","85"
"2023-432630","Vente","261500","80330","Maison","97"
"2023-432631","Vente","225900","80090","Maison","68"
"2023-432632","Vente","119400","80136","Appartement","55"
"2023-432637","Vente","207000","80250","Maison","97"
"2023-432638","Vente","190000","80000","Appartement","92"
"2023-432639","Vente","124200","80310","Maison","116"
"2023-432640","Vente","346000","80000","Maison","105"
"2023-432641","Vente","143000","80090","Maison","45"
"2023-432642","Vente","160000","80090","Maison","135"
"2023-432643","Vente","286000","80000","Maison","92"
"2023-432643","Vente","286000","80000","Maison","92"
"2023-432644","Vente","200000","80000","Maison","82"
"2023-432645","Vente","165000","80080","Maison","63"
"2023-432647","Vente","120000","80130","Maison","82"
"2023-432649","Vente","310000","80120","Maison","73"
"2023-432651","Vente","155200","80120","Maison","47"
"2023-432651","Vente","155200","80120","Maison","55"
"2023-432652","Vente","123900","80200","Maison","88"
"2023-432655","Vente","127000","80700","Maison","70"
"2023-432660","Vente","155400","80080","Maison","68"
"2023-432662","Vente","10000","80200","Maison","48"
"2023-432663","Vente","93407","80360","Maison","64"
"2023-432665","Vente","150000","80600","Maison","111"
"2023-432666","Vente","255200","80460","Maison","140"
"2023-432668","Vente","159000","80580","Maison","102"
"2023-432669","Vente","95000","80800","Maison","45"
"2023-432670","Vente","145000","80700","Maison","122"
"2023-432671","Vente","234411.84","80132","Maison","110"
"2023-432672","Vente","123500","80120","Appartement","30"
"2023-432673","Vente","176000","80110","Maison","98"
"2023-432676","Vente","200000","80740","Maison","77"
"2023-432680","Vente","129820","80350","Maison","75"
"2023-432682","Vente","30000","80310","Maison","61"
"2023-432683","Vente","152000","80400","Maison","92"
"2023-432684","Vente","139990","80190","Maison","93"
"2023-432684","Vente","139990","80190","Maison","93"
"2023-432687","Vente","56500","80430","Maison","103"
"2023-432688","Vente","173900","80000","Appartement","64"
"2023-432689","Vente","120000","80700","Maison","61"
"2023-432690","Vente","68000","80000","Appartement","20"
"2023-432691","Vente","360000","80000","Maison","120"
"2023-432692","Vente","107000","80090","Maison","88"
"2023-432692","Vente","107000","80090","Maison","88"
"2023-432693","Vente","155000","80250","Maison","110"
"2023-432695","Vente","50000","80560","Maison","82"
"2023-432697","Vente","79000","80390","Maison","113"
"2023-432698","Vente","60000","80390","Maison","67"
"2023-432699","Vente","92000","80110","Maison","50"
"2023-432701","Vente","110000","80160","Maison","85"
"2023-432702","Vente","118000","80600","Maison","98"
"2023-432703","Vente","150000","80190","Maison","67"
"2023-432706","Vente","100000","80750","Maison","124"
"2023-432707","Vente","190000","80700","Maison","110"
"2023-432707","Vente","190000","80700","Maison","110"
"2023-432708","Vente","340000","80310","Maison","183"
"2023-432709","Vente","229280","80134","Maison","90"
"2023-432710","Vente","125000","80400","Maison","154"
"2023-432710","Vente","125000","80400","Maison","154"
"2023-432711","Vente","140000","80000","Appartement","41"
"2023-432712","Vente","115000","80132","Maison","20"
"2023-432712","Vente","115000","80132","Maison","85"
"2023-432713","Vente","90000","80830","Maison","90"
"2023-432715","Vente","90000","80610","Maison","39"
"2023-432718","Vente","128500","80160","Maison","90"
"2023-432719","Vente","800000","80550","Maison","95"
"2023-432720","Vente","228450","80000","Maison","74"
"2023-432723","Vente","135000","80330","Maison","90"
"2023-432724","Vente","405000","80680","Maison","150"
"2023-432724","Vente","405000","80680","Maison","150"
"2023-432726","Vente","135000","80000","Appartement","76"
"2023-432728","Vente","265000","80150","Maison","100"
"2023-432729","Vente","255000","80500","Appartement","100"
"2023-432729","Vente","255000","80500","Local industriel. commercial ou assimilé","47"
"2023-432730","Vente","82000","80700","Maison","49"
"2023-432730","Vente","82000","80700","Maison","49"
"2023-432731","Vente","96000","80700","Maison","105"
"2023-432732","Vente","90000","80000","Appartement","87"
"2023-432736","Vente","27000","80270","Maison","40"
"2023-432737","Vente","140000","80640","Maison","126"
"2023-432738","Vente","203000","80000","Maison","80"
"2023-432740","Vente","66000","80780","Maison","52"
"2023-432741","Vente","154000","80470","Maison","95"
"2023-432742","Vente","175000","80430","Maison","175"
"2023-432745","Vente","157800","80000","Appartement","40"
"2023-432746","Vente","132000","80610","Maison","127"
"2023-432747","Vente","480000","80000","Local industriel. commercial ou assimilé","36"
"2023-432747","Vente","480000","80000","Appartement","47"
"2023-432747","Vente","480000","80000","Local industriel. commercial ou assimilé","141"
"2023-432748","Vente","193900","80100","Maison","130"
